date,djia
2004-01-16,0.013540633853114548
2004-01-23,-0.003039476402550423
2004-01-30,-0.007590631975466389
2004-02-06,0.01000756097165656
2004-02-13,0.0032870670620208653
2004-02-20,-0.0008298950399187044
2004-02-27,-0.003306328355791477
2004-03-05,0.0010988367259010534
2004-03-12,-0.03354898990613975
2004-03-19,-0.005222615448316814
2004-03-26,0.00258869495219205
2004-04-02,0.02522478769642933
2004-04-09,-0.002727639989723585
2004-04-16,0.0009519221837130942
2004-04-23,0.001996752765268228
2004-04-30,-0.023610596552606555
2004-05-07,-0.01058425104908578
2004-05-14,-0.010325836632948948
2004-05-21,-0.004607070700009208
2004-05-28,0.022244986826184032
2004-06-04,0.005336434884599672
2004-06-11,0.01633143997453823
2004-06-18,0.0006061421119873955
2004-06-25,-0.004278825430258593
2004-07-02,-0.008581890966308792
2004-07-09,-0.0067695371799397774
2004-07-16,-0.007190680314337561
2004-07-23,-0.017511228054257755
2004-07-30,0.017816310019252768
2004-08-06,-0.03199105299855709
2004-08-13,0.0010208520752741368
2004-08-20,0.02898522698936934
2004-08-27,0.008394542508808112
2004-09-03,0.006394304664733008
2004-09-10,0.005152920995691979
2004-09-17,-0.0027741496954835076
2004-09-24,-0.023065868310052196
2004-10-01,0.01447263128978693
2004-10-08,-0.013485207477937466
2004-10-15,-0.012115124512690145
2004-10-22,-0.01767474917903067
2004-10-29,0.027635299314087813
2004-11-05,0.03590835973580586
2004-11-12,0.014581893306788718
2004-11-19,-0.007790105522245461
2004-11-26,0.0062465871849330945
2004-12-03,0.006650681462009533
2004-12-10,-0.0046250971232632
2004-12-17,0.010120247893907308
2004-12-24,0.016638622637541012
2004-12-31,-0.00407402891997144
2005-01-07,-0.016604825554274782
2005-01-14,-0.004334229853752647
2005-01-21,-0.015628906989960223
2005-01-28,0.003291641770077902
2005-02-04,0.027709260395887503
2005-02-11,0.007454183553204485
2005-02-18,-0.0009994433128536206
2005-02-25,0.0052275243342279065
2005-03-04,0.009126881641086104
2005-03-11,-0.015190278368089283
2005-03-18,-0.01342910390965224
2005-03-25,-0.01757345242138275
2005-04-01,-0.003693429105217416
2005-04-08,0.00548234864431052
2005-04-15,-0.03573442790311754
2005-04-22,0.006959100907954374
2005-04-29,0.003425969042234911
2005-05-06,0.015000230561461159
2005-05-13,-0.019842635374175854
2005-05-20,0.03272052007274073
2005-05-27,0.0067456653084299045
2005-06-03,-0.007738165813773734
2005-06-10,0.004938356576875691
2005-06-17,0.010505458672092516
2005-06-24,-0.030615443558218103
2005-07-01,0.0005438033607048087
2005-07-08,0.014140908279176578
2005-07-15,0.01834505040606227
2005-07-22,0.0009726684854471923
2005-07-29,-0.0009642124159013887
2005-08-05,-0.007788807536197484
2005-08-12,0.004004534936915105
2005-08-19,-0.00387535836216113
2005-08-26,-0.015336345547923402
2005-09-02,0.0048166397205424705
2005-09-09,0.022129014287806337
2005-09-16,-0.0034293013290180863
2005-09-23,-0.020893746816839864
2005-09-30,0.014310543888963023
2005-10-07,-0.026151749978710837
2005-10-14,-0.0004828847945698156
2005-10-21,-0.007010558608931072
2005-10-28,0.018359859112187626
2005-11-04,0.012303453791634222
2005-11-11,0.014745374502884934
2005-11-18,0.007513541031102244
2005-11-25,0.01535249244635839
2005-12-02,-0.004949861045298043
2005-12-09,-0.009094912346667594
2005-12-16,0.009000257918946764
2005-12-23,0.0007061685848768207
2005-12-30,-0.015231635344891803
2006-01-06,0.02256216468392802
2006-01-13,5.1098107453961816e-05
2006-01-20,-0.0266864479231963
2006-01-27,0.0224816004664683
2006-02-03,-0.010414212250428712
2006-02-10,0.011620753741562018
2006-02-17,0.017975006983208308
2006-02-24,-0.004810477791012735
2006-03-03,-0.0036395358823343438
2006-03-10,0.004967522834727012
2006-03-17,0.018355341204766118
2006-03-24,2.836967459085571e-05
2006-03-31,-0.015128586334892669
2006-04-07,0.0009649555508348673
2006-04-14,0.001583627397023557
2006-04-21,0.01883700780685338
2006-04-28,0.001735191606924813
2006-05-05,0.018527087728311686
2006-05-12,-0.016993817446237403
2006-05-19,-0.02081804834201595
2006-05-26,0.01207369665992486
2006-06-02,-0.0027255131616396033
2006-06-09,-0.03164599164108406
2006-06-16,0.011258804691918423
2006-06-23,-0.002311487986345284
2006-06-30,0.014662724575010166
2006-07-07,-0.005340701797811986
2006-07-14,-0.03167707631730088
2006-07-21,0.01201469362670915
2006-07-28,0.03232496471415258
2006-08-04,0.0018405126696792173
2006-08-11,-0.013551179456155693
2006-08-18,0.026464574861359447
2006-08-25,-0.008559527020674862
2006-09-01,0.015960581528795093
2006-09-08,-0.006283937317637989
2006-09-15,0.01480498344907133
2006-09-22,-0.00455592490811596
2006-09-29,0.014856492383625408
2006-10-06,0.014653564025217669
2006-10-13,0.009307851928362476
2006-10-20,0.0034998507588723804
2006-10-27,0.007322720429381757
2006-11-03,-0.008620162014712607
2006-11-10,0.010211045516283823
2006-11-17,0.01933611541711011
2006-11-24,-0.005054867061614399
2006-12-01,-0.007006417663599218
2006-12-08,0.00929627615910289
2006-12-15,0.011215121848565435
2006-12-22,-0.00821982528652887
2006-12-29,0.009716265285719672
2007-01-05,-0.005226608040503344
2007-01-12,0.012749626754616328
2007-01-19,0.0007526234302426271
2007-01-26,-0.006248045247594036
2007-02-02,0.013331443370796281
2007-02-09,-0.0057422892814551485
2007-02-16,0.014843217816312482
2007-02-23,-0.00940586188287984
2007-03-02,-0.042172828104887206
2007-03-09,0.013391007173458869
2007-03-16,-0.013514636307948913
2007-03-23,0.030601771533746547
2007-03-30,-0.010148217171526919
