"Date","Price","Open","High","Low","Vol.","Change %"
"01/30/2025","44,881.64","44,548.69","45,008.74","44,548.69","705.55M","0.38%"
"01/29/2025","44,713.52","44,819.55","44,962.58","44,579.10","695.19M","-0.31%"
"01/28/2025","44,850.35","44,756.36","44,976.35","44,621.96","915.11M","0.31%"
"01/27/2025","44,713.58","44,148.84","44,727.85","44,026.27","1.23B","0.65%"
"01/24/2025","44,424.25","44,533.75","44,545.52","44,332.22","532.23M","-0.32%"
"01/23/2025","44,565.07","44,113.55","44,565.26","44,113.55","444.19M","0.92%"
"01/22/2025","44,156.73","44,178.06","44,208.34","44,042.11","588.44M","0.30%"
"01/21/2025","44,025.81","43,528.65","44,050.13","43,528.65","592.22M","1.24%"
"01/17/2025","43,487.83","43,312.55","43,653.25","43,312.55","558.95M","0.78%"
"01/16/2025","43,153.13","43,290.25","43,294.81","43,081.75","504.27M","-0.16%"
"01/15/2025","43,221.55","42,927.76","43,323.49","42,927.76","479.12M","1.65%"
"01/14/2025","42,518.28","42,366.42","42,544.57","42,157.03","454.66M","0.52%"
"01/13/2025","42,297.12","41,924.68","42,319.60","41,844.89","500.20M","0.86%"
"01/10/2025","41,938.45","42,540.29","42,540.29","41,877.30","543.82M","-1.63%"
"01/08/2025","42,635.20","42,542.10","42,656.22","42,327.79","463.43M","0.25%"
"01/07/2025","42,528.36","42,809.71","42,931.54","42,380.75","621.64M","-0.42%"
"01/06/2025","42,706.56","42,835.52","43,115.31","42,611.16","557.04M","-0.06%"
"01/03/2025","42,732.13","42,495.76","42,782.76","42,436.92","455.82M","0.80%"
"01/02/2025","42,392.27","42,660.09","42,905.09","42,174.80","459.86M","-0.36%"
"12/31/2024","42,544.22","42,636.70","42,779.69","42,421.29","359.22M","-0.07%"
"12/30/2024","42,573.73","42,863.86","42,863.86","42,263.51","383.30M","-0.97%"
