,mktrf,smb,hml,rmw,cma,umd
djia,0.9567339007447612,-0.10331403598654126,0.05664594552878583,0.19879286818479047,0.24898292782686646,
AAPL,1.119473440449917,,-0.2945324671441628,0.5442121790617557,-0.3876916692771549,
AMGN,0.7391519196574513,-0.2437899416550342,-0.3412805137703064,,0.6792966505622625,
AMZN,1.0363879036743728,,-0.33271391413909085,,-1.1054509121125624,
AXP,1.2319498433610905,,0.632658479396737,,,-0.21061916765932406
BA,1.4026034884644285,0.2951863790743251,0.40110043151612873,0.5002013811516282,,
CAT,1.157945300784221,0.4810966208552354,0.1620625611380364,,0.6642872723777101,-0.11704113489573595
CRM,1.2197255210642193,,,-0.379746656675317,-1.0077006764762926,
CSCO,1.0149770385419636,,-0.24037785800131692,0.26291248976879755,0.371159689886049,-0.11346760972200876
CVX,1.0131477640974331,-0.16638992566513697,0.3442091772535051,,0.9298978727577709,
DIS,1.0533502539062929,,,,,
GS,1.16005734994001,-0.31722025832107115,0.8693581923588954,-0.44629429728277836,-0.5674236500298048,-0.18542510916294216
HD,1.1355162167010417,,,0.3838695462519925,,
HON,1.1282466390454402,,0.1447634618648847,0.3766010917499743,0.3508112747487286,
IBM,0.8592745059939377,,,0.42220353368695657,0.318432173351317,
JNJ,0.641229149796635,-0.33270301278745745,-0.1901064673766023,,0.6658226546364292,
JPM,0.997478228668904,-0.393140798320025,1.4729602383713531,-0.5796964841621386,-0.997571349517876,-0.10240894688239885
KO,0.7432027103598813,-0.28305741354982217,,0.4504709847026096,0.531956588414994,
MCD,0.6802512831096991,,,0.47971013275276303,,0.09133259377235284
MMM,0.9007174582764874,,,0.37101379173308024,0.4298920804754651,-0.11361822195717022
MRK,0.6761387632917181,-0.3858072614702252,,,0.6570236582600624,
MSFT,1.065808344437952,-0.40643135165015437,-0.41212345227532865,0.40980017387212625,,
NKE,1.0434452172690214,,,0.5047695847581455,,0.09971547441919147
NVDA,1.5612320004931537,,-0.540207848110368,-0.41272506688212485,-0.6009891749662273,
PG,0.6698302195902256,-0.42606295826055807,-0.307387594638118,0.3089553234714171,0.7509744604346086,-0.1048933822076318
SHW,0.9055523563700867,,-0.1589747474590029,0.3297890425260703,,
TRV,0.7925650292375018,-0.2624821447424237,0.41605498462443263,,0.28872145623530554,0.09638730960569365
UNH,1.0816030062882034,-0.49917295765391645,,,,
V,0.9370112201698779,,,,,
VZ,0.6003882985848135,-0.2211517620032874,,0.21133298399984135,0.5744002813513142,-0.10497413150835577
WMT,0.6153341283797422,-0.3421537579977337,-0.21432402124876326,0.35146773273685156,0.4787654650259941,
