,mktrf,smb,hml,rmw,cma,umd
djia,0.0,1.742656310749252e-10,0.00012878453718034578,4.932880269401622e-21,1.7874311215281568e-17,0.7267609479859917
AAPL,2.2555340658247633e-98,0.7411355312607804,0.0002042031852030241,9.499985645435183e-07,0.011693623544010575,0.18461018256101144
AMGN,9.149890307852711e-53,0.00357438077415988,1.0253511952899434e-05,0.8951762412144832,6.259363941724093e-06,0.8861141013534195
AMZN,1.604461974729269e-69,0.7443328512805965,0.0002809733270497836,0.3084530959072393,7.143138489289685e-10,0.1829150622342784
AXP,1.1297450590856497e-116,0.7060961925887996,1.1613527948834006e-15,0.19143580532134555,0.2985959074229331,4.183434636641349e-05
BA,5.412988938687998e-82,0.014758960717622435,0.00033293583087858005,0.0013315166570446954,0.49859465281227344,0.8665205354702401
CAT,1.9663121594230785e-104,2.2369532466682716e-08,0.03922711791046027,0.27192316735921407,1.4941051836280371e-05,0.024169963810781795
CRM,6.425492716476604e-80,0.703205274395062,0.1014018279328743,0.005803259719484003,1.7398702438286034e-07,0.2534131986189004
CSCO,7.971240058483804e-101,0.17846085601098113,0.0006731009466839253,0.007615219877420782,0.006825108496272081,0.014893800261570762
CVX,2.4162658320809832e-108,0.02235089197989389,3.463033568385055e-07,0.7536806395265687,2.01304558747981e-12,0.3874339075655028
DIS,5.023703149496545e-122,0.6721133668639793,0.23979793866979743,0.4222424303068397,0.22681637372103325,0.25884530924168253
GS,5.31183898702458e-99,0.0003536067321558126,5.631856306342555e-25,9.382126293077945e-05,0.0003583114055578535,0.0005960940323260578
HD,3.2633827047146375e-130,0.13752820559319154,0.7284424807918037,3.474000436034089e-05,0.06554259673283269,0.6222708690514155
HON,3.364008989792118e-186,0.057789649827277106,0.003917987681444914,9.080286925312509e-08,0.00032789533973257414,0.38048755480001917
IBM,9.393315131366897e-97,0.26334178493828203,0.8125668354409921,9.565393807995269e-07,0.007632435237055542,0.1607882847677822
JNJ,8.171023551948965e-98,2.7480696552635447e-11,3.1195960373541274e-05,0.45795659271144296,1.1818909392982604e-13,0.5083637464405494
JPM,3.107738417309315e-107,6.511718628418388e-08,1.131943584980468e-85,6.395988847007908e-10,3.1593905361030415e-14,0.019763334020824905
KO,6.304091531917635e-106,2.1846445792558578e-07,0.14632813246918142,1.685515997860331e-10,5.462467944410419e-08,0.15795079301090106
MCD,6.31559329445958e-92,0.05565921815264926,0.5560245543945225,1.417653798274818e-11,0.5893909699266391,0.005950075065616334
MMM,1.248414978002851e-122,0.15541230028761974,0.4993492825150757,1.3945144942916165e-06,5.717641068363648e-05,0.0017117378172345444
MRK,2.0923251170729704e-52,5.896400475192492e-07,0.4262685241834109,0.15991514969825668,1.9950260932847374e-06,0.6221342037532311
MSFT,2.6212224061707094e-133,1.2846166229204264e-09,2.6650617675769816e-11,1.7521642098258321e-06,0.460935585961219,0.3168299632060764
NKE,1.1343687834709753e-92,0.29195718359935635,0.9890894114880152,2.690711852565231e-06,0.08166540090901665,0.04880610953677446
NVDA,5.030207256117108e-77,0.5365955242359588,3.077170365184867e-05,0.02200781067369276,0.01664399695614497,0.4963899631013897
PG,7.687411700780219e-97,7.706555071004038e-16,2.0381069523314826e-10,4.088838142470809e-06,2.055023582232492e-15,0.0009136483799346764
SHW,1.4239302466722696e-81,0.24564978282926012,0.027732655704406833,0.001090416067605723,0.05857576279516176,0.640145521169416
TRV,3.732846407869888e-77,0.00023004872109899579,3.246855154551379e-10,0.6644943301580548,0.023281550118545304,0.025802846708223408
UNH,3.929024712390967e-70,1.419999080398672e-06,0.24873490565675518,0.11866727467350485,0.6199115100801382,0.6491471245077371
V,5.264579422091985e-95,0.9531780346823586,0.9426607553492141,0.0731041911723706,0.11308619456956794,0.6225939429055141
VZ,1.3309949787738665e-58,0.0005379712058476801,0.5724811565243098,0.00997859703414377,5.713599387528751e-07,0.006846399020254572
WMT,1.1611360223977588e-58,1.9534933576913075e-07,0.0003800392949860913,3.0491159127423908e-05,4.507442326222272e-05,0.9467701273804079
